dteday,instant,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,count
2011-07-01,4251,3,0,7,0,0,5,1,1,0.66,0.6212,0.5,0.0,20,48,68
2011-07-01,4252,3,0,7,1,0,5,1,1,0.66,0.6212,0.5,0.0,15,16,31
2011-07-01,4253,3,0,7,2,0,5,1,1,0.62,0.6061,0.69,0.0,6,7,13
2011-07-01,4254,3,0,7,3,0,5,1,1,0.64,0.6212,0.53,0.0,5,6,11
2011-07-01,4255,3,0,7,4,0,5,1,1,0.62,0.6212,0.57,0.0,1,5,6
2011-07-01,4256,3,0,7,5,0,5,1,1,0.6,0.6061,0.64,0.1343,3,27,30
2011-07-01,4257,3,0,7,6,0,5,1,1,0.62,0.6061,0.61,0.1343,11,97,108
2011-07-01,4258,3,0,7,7,0,5,1,1,0.66,0.6212,0.54,0.1045,25,218,243
2011-07-01,4259,3,0,7,8,0,5,1,1,0.7,0.6364,0.42,0.1642,39,453,492
2011-07-01,4260,3,0,7,9,0,5,1,1,0.74,0.6515,0.35,0.1642,58,202,260
2011-07-01,4261,3,0,7,10,0,5,1,1,0.76,0.6667,0.33,0.1642,61,109,170
2011-07-01,4262,3,0,7,11,0,5,1,1,0.8,0.697,0.26,0.0,68,146,214
2011-07-01,4263,3,0,7,12,0,5,1,1,0.8,0.697,0.26,0.0,83,180,263
2011-07-01,4264,3,0,7,13,0,5,1,1,0.8,0.6818,0.24,0.0,83,209,292
2011-07-01,4265,3,0,7,14,0,5,1,1,0.82,0.697,0.23,0.194,78,225,303
2011-07-01,4266,3,0,7,15,0,5,1,1,0.82,0.697,0.21,0.2537,82,299,381
2011-07-01,4267,3,0,7,16,0,5,1,1,0.82,0.697,0.17,0.0,85,342,427
2011-07-01,4268,3,0,7,17,0,5,1,1,0.82,0.697,0.21,0.194,99,362,461
2011-07-01,4269,3,0,7,18,0,5,1,1,0.8,0.6818,0.24,0.2537,98,324,422
2011-07-01,4270,3,0,7,19,0,5,1,1,0.78,0.6667,0.25,0.194,80,238,318
2011-07-01,4271,3,0,7,20,0,5,1,1,0.72,0.6515,0.42,0.2239,84,185,269
2011-07-01,4272,3,0,7,21,0,5,1,1,0.7,0.6364,0.45,0.194,69,149,218
2011-07-01,4273,3,0,7,22,0,5,1,1,0.7,0.6364,0.42,0.0,49,173,222
2011-07-01,4274,3,0,7,23,0,5,1,1,0.68,0.6364,0.47,0.0896,44,96,140
2011-07-02,4275,3,0,7,0,0,6,0,1,0.68,0.6364,0.47,0.0896,31,84,115
2011-07-02,4276,3,0,7,1,0,6,0,1,0.66,0.6212,0.54,0.0,20,58,78
2011-07-02,4277,3,0,7,2,0,6,0,1,0.64,0.6212,0.53,0.0,9,43,52
2011-07-02,4278,3,0,7,3,0,6,0,1,0.64,0.6212,0.53,0.0,5,21,26
2011-07-02,4279,3,0,7,4,0,6,0,1,0.62,0.6061,0.61,0.0,3,8,11
2011-07-02,4280,3,0,7,5,0,6,0,1,0.58,0.5455,0.73,0.1045,1,13,14
2011-07-02,4281,3,0,7,6,0,6,0,1,0.62,0.6061,0.69,0.1045,11,21,32
2011-07-02,4282,3,0,7,7,0,6,0,1,0.64,0.6061,0.65,0.0,10,35,45
2011-07-02,4283,3,0,7,8,0,6,0,1,0.68,0.6364,0.57,0.0,38,94,132
2011-07-02,4284,3,0,7,9,0,6,0,1,0.74,0.6667,0.51,0.0896,55,124,179
