dteday,instant,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,count
2011-10-01,6443,4,0,10,0,0,6,0,1,0.5,0.4848,0.63,0.3881,24,106,130
2011-10-01,6444,4,0,10,1,0,6,0,1,0.48,0.4697,0.67,0.3284,11,47,58
2011-10-01,6445,4,0,10,2,0,6,0,1,0.46,0.4545,0.63,0.4179,21,46,67
2011-10-01,6446,4,0,10,3,0,6,0,1,0.46,0.4545,0.59,0.4179,8,17,25
2011-10-01,6447,4,0,10,4,0,6,0,1,0.44,0.4394,0.58,0.4179,2,6,8
2011-10-01,6448,4,0,10,5,0,6,0,2,0.44,0.4394,0.62,0.2985,1,4,5
2011-10-01,6449,4,0,10,6,0,6,0,1,0.42,0.4242,0.67,0.3284,4,15,19
2011-10-01,6450,4,0,10,7,0,6,0,3,0.42,0.4242,0.67,0.2537,6,30,36
2011-10-01,6451,4,0,10,8,0,6,0,2,0.4,0.4091,0.76,0.3284,9,58,67
2011-10-01,6452,4,0,10,9,0,6,0,3,0.4,0.4091,0.82,0.3582,17,112,129
2011-10-01,6453,4,0,10,10,0,6,0,3,0.4,0.4091,0.76,0.3582,21,100,121
2011-10-01,6454,4,0,10,11,0,6,0,3,0.38,0.3939,0.82,0.3284,30,102,132
2011-10-01,6455,4,0,10,12,0,6,0,2,0.4,0.4091,0.82,0.2537,28,130,158
2011-10-01,6456,4,0,10,13,0,6,0,2,0.4,0.4091,0.82,0.3284,27,98,125
2011-10-01,6457,4,0,10,14,0,6,0,2,0.42,0.4242,0.71,0.3582,33,147,180
2011-10-01,6458,4,0,10,15,0,6,0,2,0.42,0.4242,0.71,0.2836,41,154,195
2011-10-01,6459,4,0,10,16,0,6,0,2,0.4,0.4091,0.76,0.2985,58,165,223
2011-10-01,6460,4,0,10,17,0,6,0,3,0.4,0.4091,0.76,0.194,58,170,228
2011-10-01,6461,4,0,10,18,0,6,0,3,0.38,0.3939,0.87,0.2239,23,117,140
2011-10-01,6462,4,0,10,19,0,6,0,2,0.38,0.3939,0.82,0.194,27,99,126
2011-10-01,6463,4,0,10,20,0,6,0,3,0.36,0.3636,0.87,0.1045,8,58,66
2011-10-01,6464,4,0,10,21,0,6,0,3,0.36,0.3636,0.87,0.1045,3,53,56
2011-10-01,6465,4,0,10,22,0,6,0,2,0.36,0.3485,0.93,0.2239,12,58,70
